country,Year,PatentNum,maxCitations,avgCitations,diffCitations
AD,1993,5193231,1,1.0,0.0
AD,1998,5765303,1,1.0,0.0
AD,1987,4688621,3,3.0,0.0
AE,1987,4663181,3,3.0,0.0
AE,1992,5104556,4,4.0,0.0
AE,1993,5181569,8,8.0,0.0
AE,1991,4997041,3,2.0,1.0
AE,1984,4482959,5,5.0,0.0
AE,1989,4805221,7,5.0,2.0
AE,1985,4554981,14,14.0,0.0
AE,1990,4909321,2,2.0,0.0
AE,1996,5580125,1,1.0,0.0
AG,1995,5457307,11,6.0,5.0
AG,1994,5345071,19,19.0,0.0
AG,1978,4126850,6,6.0,0.0
AG,1979,4172981,14,14.0,0.0
AG,1991,5013035,8,8.0,0.0
AG,1996,5525786,2,1.5,0.5
AM,1995,5382341,2,2.0,0.0
AN,1979,4165701,1,1.0,0.0
AN,1997,5681179,1,1.0,0.0
AN,1991,5070973,1,1.0,0.0
AN,1980,4222825,9,9.0,0.0
AR,1969,3431861,14,4.583333333333333,9.416666666666668
AR,1990,4905476,7,2.769230769230769,4.230769230769231
AR,1971,3554225,15,5.333333333333333,9.666666666666668
AR,1978,4067175,16,6.904761904761905,9.095238095238095
AR,1985,4494603,15,6.166666666666667,8.833333333333332
AR,1994,5294252,106,10.875,95.125
AR,1974,3794087,10,4.476190476190476,5.523809523809524
AR,1995,5383863,6,2.85,3.15
AR,1963,3073118,7,2.5,4.5
AR,1967,3299209,14,4.615384615384615,9.384615384615385
AR,1973,3709869,10,4.25,5.75
AR,1979,4136702,12,5.052631578947368,6.947368421052632
AR,1993,5179949,67,8.705882352941176,58.294117647058826
AR,1997,5591229,5,1.8666666666666667,3.1333333333333333
AR,1970,3490596,15,4.05,10.95
AR,1968,3360883,21,5.714285714285714,15.285714285714285
AR,1992,5102135,11,3.388888888888889,7.611111111111111
AR,1977,4004781,14,5.222222222222222,8.777777777777779
AR,1984,4426567,14,5.352941176470588,8.647058823529413
AR,1972,3633755,26,5.913043478260869,20.086956521739133
AR,1991,4985443,10,3.466666666666667,6.533333333333333
AR,1975,3869238,14,3.789473684210526,10.210526315789474
AR,1966,3232502,9,2.75,6.25
AR,1964,3117561,8,3.0,5.0
AR,1987,4638378,24,4.882352941176471,19.11764705882353
AR,1980,4183964,16,6.333333333333333,9.666666666666668
AR,1976,3931427,50,6.545454545454546,43.45454545454545
AR,1996,5489267,18,4.1875,13.8125
AR,1986,4562772,11,5.214285714285714,5.785714285714286
AR,1965,3164192,10,3.5,6.5
AR,1982,4326511,15,5.583333333333333,9.416666666666668
AR,1988,4719921,19,4.2,14.8
AR,1998,5705185,11,2.230769230769231,8.76923076923077
AR,1989,4799666,16,5.6,10.4
AR,1981,4243006,13,4.333333333333333,8.666666666666668
AR,1983,4367694,32,6.947368421052632,25.05263157894737
AT,1987,4633683,38,5.18360655737705,32.81639344262295
AT,1997,5590791,4,1.5034482758620689,2.496551724137931
AT,1986,4562721,45,5.180645161290323,39.81935483870968
AT,1972,3632894,37,5.3446808510638295,31.655319148936172
AT,1981,4243208,46,5.672340425531915,40.327659574468086
AT,1974,3783937,37,5.852589641434263,31.147410358565736
AT,1990,4890522,30,4.415094339622642,25.58490566037736
AT,1992,5077988,26,3.772727272727273,22.227272727272727
AT,1989,4794861,40,5.078787878787879,34.92121212121212
AT,1982,4308790,67,5.786802030456853,61.213197969543145
AT,1999,5857448,1,1.0,0.0
AT,1993,5175949,20,3.441666666666667,16.558333333333334
AT,1995,5377598,16,2.824644549763033,13.175355450236967
AT,1988,4716686,39,4.906896551724138,34.09310344827586
AT,1971,3552319,17,4.083333333333333,12.916666666666668
AT,1978,4065977,51,5.43801652892562,45.56198347107438
AT,1991,4981342,18,3.9157894736842107,14.08421052631579
AT,1975,3858605,21,5.191489361702128,15.808510638297872
AT,1979,4132373,31,6.05699481865285,24.94300518134715
AT,1976,3930531,71,5.7790262172284645,65.22097378277154
AT,1983,4367319,93,6.051063829787234,86.94893617021276
AT,1998,5704959,5,1.3150684931506849,3.684931506849315
AT,1968,3361402,25,4.128,20.872
AT,1970,3487490,23,4.223684210526316,18.776315789473685
AT,1966,3228802,16,3.43,12.57
AT,1965,3165815,21,3.525252525252525,17.474747474747474
AT,1984,4425800,26,5.437209302325582,20.56279069767442
AT,1963,3071083,31,4.775862068965517,26.224137931034484
AT,1969,3420189,22,3.859259259259259,18.14074074074074
AT,1985,4490947,22,5.278388278388278,16.721611721611723
AT,1980,4181427,29,5.197368421052632,23.80263157894737
AT,1994,5275205,18,3.173469387755102,14.826530612244898
AT,1967,3295208,25,3.6610169491525424,21.338983050847457
AT,1996,5479807,17,2.2580645161290325,14.741935483870968
AT,1977,4000544,21,5.285714285714286,15.714285714285715
AT,1973,3708098,55,5.285,49.715
AT,1964,3123272,19,2.639344262295082,16.360655737704917
AU,1978,4066550,58,5.749019607843137,52.25098039215686
AU,1966,3227108,31,4.615384615384615,26.384615384615387
AU,1990,4893445,45,5.589235127478753,39.41076487252125
AU,1964,3116817,13,4.111111111111111,8.88888888888889
AU,1970,3488934,22,4.378378378378378,17.62162162162162
AU,1971,3555378,32,5.101190476190476,26.898809523809526
AU,1976,3930319,48,6.510729613733906,41.48927038626609
AU,1977,4001370,48,6.351111111111111,41.64888888888889
AU,1965,3163933,29,3.9647058823529413,25.03529411764706
AU,1963,3074065,29,4.043478260869565,24.956521739130434
AU,1979,4132439,51,5.773684210526316,45.22631578947369
AU,1995,5377463,48,4.042207792207792,43.95779220779221
AU,1992,5078208,46,5.036363636363636,40.96363636363636
AU,1986,4562718,59,5.660493827160494,53.339506172839506
AU,1988,4716609,44,5.494565217391305,38.505434782608695
AU,1969,3420181,25,4.827586206896552,20.17241379310345
AU,1991,4980981,72,5.143236074270557,66.85676392572944
AU,1983,4366775,63,6.382488479262673,56.617511520737324
AU,1999,5862701,1,1.0,0.0
AU,1972,3632258,67,6.7290322580645165,60.270967741935486
AU,1994,5274885,47,3.806179775280899,43.193820224719104
AU,1973,3708941,38,5.154285714285714,32.84571428571429
AU,1996,5480113,23,2.4645390070921986,20.5354609929078
AU,1968,3365462,27,4.69,22.31
AU,1975,3859440,55,6.5829383886255926,48.41706161137441
AU,1967,3295210,26,5.105769230769231,20.89423076923077
AU,1974,3781990,51,6.357843137254902,44.6421568627451
AU,1989,4796401,64,5.290697674418604,58.7093023255814
AU,1998,5704345,4,1.452991452991453,2.547008547008547
AU,1981,4245597,55,6.48943661971831,48.51056338028169
AU,1985,4490929,59,6.0,53.0
AU,1987,4633996,81,6.261363636363637,74.73863636363636
AU,1982,4308862,39,6.247863247863248,32.75213675213675
AU,1997,5591060,12,1.8483412322274881,10.151658767772512
AU,1993,5176322,71,5.306666666666667,65.69333333333333
AU,1984,4425500,35,5.977186311787072,29.022813688212928
AU,1980,4182047,70,6.684873949579832,63.31512605042017
AW,1996,5588650,5,5.0,0.0
